name comment
"Last Film Show" 有光才有生命人類才得以產生文明才可以創造故事將歷史傳承下去而爸爸帶去看的最後一場電影成為了男孩夢想的開端電影畫面以飽和色調捕捉了恰拉拉村的美景也讓我們看到如何在車站邊賣奶茶給車上乘客與以往的寶萊塢電影不同沒有眾多的群體唱跳畫面反而將印度的景色與文化真摯地傳遞給觀眾讓觀眾對於印度有了全新的體驗電影開頭與結尾提及印度影視圈的知名人士以及世界名導正是有這些先驅電影才能成為我們現今的休閒娛樂之一電影的無聲到有聲黑白到彩色不存在到存在一切都歸功於電影從業人員們的努力由衷感謝
"Beautiful Minds" 很棒的小品電影兩位的演技非常自然
"Fantastic Beasts: The Secrets of Dumbledore" 雖然沒有很很很精彩但還是很喜歡尤其施咒的特效特效在電影院看才過癮演員們都很有能力演好自己的角色有的堪稱天才
"Fantastic Beasts: The Secrets of Dumbledore" 魔法對戰畫面歷年來本來就不精彩一直都是法杖揮來揮去而已可看之處除了鄧不利多對佛地魔那次再來就是這集的瞪不利多短暫法鬥吧所以抱著不期待的心情反而會有點驚喜魔法世界的新梗似乎還能更多看得欲求不滿本人沒有看小說但第二集反派花那麼多時間讓好人黑化預告魔法師要攻擊麻瓜世界這集都沒有做出來黑化後的人突然又一直猶豫不決看完覺得挺失望的
"Fantastic Beasts: The Secrets of Dumbledore" 實為分劇情銜接沒有很順但是感情刻劃有到位畫面很精緻
"Fantastic Beasts: The Secrets of Dumbledore" 自從看了怪獸系列部發現鄧不利多和葛林戴華德是舊情人關係後就很期待第部雖然當初期待看的是強尼戴普演的但換邁茲米克森我也能接受啦覺得他非常適合演那種陰暗的反派角色因為本來就是沖著他們的基情去看的因此這部我還算滿意甚至覺得他倆的對手戲太少希望對於他們的過往可以再交代更多不過如果真照我期望的這樣拍可能會有更多人不滿意畢竟每個人想看的東西不一樣本身是哈利波特小說迷但怪獸系列的小說我沒看過以前比較感興趣的都是女女第一次入坑男男竟然是哈利波特的魔法世界好希望能看到刪減片段
"Fantastic Beasts: The Secrets of Dumbledore" 男主艾迪跟玻璃獸好可愛特效很美演員演技都在水準之上雖然劇情邏輯有點不夠好不過還是很值得去看
"Fantastic Beasts: The Secrets of Dumbledore" 我看完仍不知道他的秘密是什麼誰能告訴我鄧不利多的秘密到底是什麼劇中更是各種湊奎妮跟雅各到最後雖是但有夠草率那前兩集又在幹嘛雖說觀影過程不會覺得無聊因為電影忙著埋笑點和提高腐度但整體過於不務正業又毫無邏輯只有配樂能讓我時不時回想起本傳的哈利波特系列帶來的奇幻與魔法好啦還是推一下鄧布利多與葛林戴華德拿魔杖基情的片段好了畢竟那個才是亮點
"Fantastic Beasts: The Secrets of Dumbledore" 玻璃獸和木精真的好可愛很愛呢
"Fantastic Beasts: The Secrets of Dumbledore" 好看值得去電影院大螢幕欣賞怪獸很可愛人物情感非常內斂個人覺得換角之後更登對呢內斂的那種連我沒看過這系列的女友看完出了電影院還不斷的跟我探討劇情值回票價
"Fantastic Beasts: The Secrets of Dumbledore" 我只能說在看完第二集緊接著看第三集雖然哈利波特小說忘記了但其實沒有差別更沒有影響怪獸這個系列我也不完全是個哈利波特的忠實粉絲無法表達更多關於哈利波特的內容很多影評都會覺得這部電影撤頭徹尾的就是點題這部怪獸與鄧布利多的秘密到底是在講什麼顯然我看到最後裘德洛飾演的中年版本鄧不利多後面的幾分黯然與惆悵是有把整部電影給拉了回來也就是比第二集結尾還要好看又比較好懂整個故事線又精簡些它的主題就是探討鄧不利多的秘密然而這部電影並沒有展現更多關於鄧不利多的秘密但是有些秘密反倒變成是一個要給我們去思考整體我覺得還不錯比第二集還要好懂完全不拖戲中規中矩
"Fantastic Beasts: The Secrets of Dumbledore" 好看非常精彩劇情不錯很值得去看
"Fantastic Beasts: The Secrets of Dumbledore" 打鬥畫面很華麗震撼已往的哈利波特到怪獸比較起來鄧不利多的秘密攻擊對戰的華麗感加上電影院的音效震動很厲害推推
"Fantastic Beasts: The Secrets of Dumbledore" 我覺得主要看到鄧布利多的故事就很好看了不用期待大魔法特效
"Fantastic Beasts: The Secrets of Dumbledore" 走劇情打鬥較少也還不錯看少一顆星是因為強尼戴普沒演
"Fantastic Beasts: The Secrets of Dumbledore" 沒冷場可惜打鬥場面少還是值得進電影院觀賞
"Fantastic Beasts: The Secrets of Dumbledore" 與哈利波特一樣是魔法系列但我覺得此片好看多了
"Fantastic Beasts: The Secrets of Dumbledore" 有看過集的覺得很好看劇情緊湊
"Fantastic Beasts: The Secrets of Dumbledore" 很好看啊個小時都沒有冷場建議先做功課網路有很多關於前兩集的回顧與觀影複習有助快速進入劇情
"Fantastic Beasts: The Secrets of Dumbledore" 看完了整個三部曲覺得把原來哈利波特裡的鄧不利多的故事交代的更完整了電影特效真的很棒劇情也不錯
"Fantastic Beasts: The Secrets of Dumbledore" 覺得好看看的開心微笑著出電影院換角不滿意鄧不多演出沒有打動人心
"Fantastic Beasts: The Secrets of Dumbledore" 整體看來還不錯但是很多人物的故事線收得很勉強對鄧布利多也沒有更多的人物刻劃有一點可惜
"Fantastic Beasts: The Secrets of Dumbledore" 很好看就算換角也很適合而且覺得還比較匹配也做得很好喜歡的就是喜歡沒有辦法永遠皆大歡喜
"Fantastic Beasts: The Secrets of Dumbledore" 本片甚麼都好就是少了強尼戴普就失色不少葛林戴華德改由邁茲米克森取代強尼戴普只能說強尼戴普太強大了邁茲米克森演不出強尼戴普的邪氣本片給四顆星
"Fantastic Beasts: The Secrets of Dumbledore" 雖然不知道為什麼強尼戴普被換不過不影響這集的精彩鬥法特效跟場次頗多完全打臉某題外話為什麼公館某影城可以在今天首映才公佈電力有問題暫停營業一堆人一大早興沖沖的衝早場到門口才傻眼發呆為什麼今天都快破千例了另一家則讓一直在門口吸鼻水咳嗽至少超過次的人進電影院跟現場人員講也是雙手一攤有錄影存證萬一中標的
"Fantastic Beasts: The Secrets of Dumbledore" 這新的續集實在太好看了只是影廳走道有點暗我進去前只能咒語幫我家沅沅發光不過還是值得五顆星啦讚讚讚
"The Lost City" 娛樂效果十足劇情輕鬆有很多會心一笑片段沒有想象中不好看
"The Lost City" 這是一部爛漫愛情喜劇片適合約會觀看
"The Lost City" 布萊德彼特客串真是一大亮點好看又有娛樂性的電影
"The Lost City" 算是普普通通的小品冒險喜劇吧個人覺得最好笑的地方是突然出現的音樂感覺很復古給個四星平反一下哈利波特的演出比較尷尬一些有點要壞卻也不夠壞的感覺
"The Lost City" 本片在驚險中帶點風趣搞笑珊卓布拉克表演稱職搞笑滿點男主角幽默風趣雖然沒有拿到寶藏可是拿到了愛情好看中帶平庸黑人身材太好了吧本片最大亮點很值得去看喔
"The Lost City" 很有趣的電影布萊德彼特好帥啊沒看到查寧坦圖帥氣打鬥有點可惜雖然劇情很鬧但很好看
"In The Wake" 最近電影太難看了例如謎城還是看這部比較有意義推推
"In The Wake" 今天去看完很感動沒有想像中沉重每位演員都非常敬業祈禱天災跟人禍不要再出現了家破人亡妻離子散的悲劇讓人心痛
"In The Wake" 一部很沈重的電影佐藤健和阿部寬演的很到位非常推薦去看看到不小心流淚
"In The Wake" 很好看我看音速小子還看到打瞌睡結果看這片看完全程
"In The Wake" 細膩度不太夠結局也沒有很催淚可惜了還好有阿部寬實在演太好了看到他就有種莫名的感動
"In The Wake" 電影礙於只有兩個小時因此步調比原著小說快很多內容發人省思演員表現的很棒
"In The Wake" 今日看了這電影覺得不愧是得到超多日本映畫大賞的電影很令人省思喜歡這樣深度的影片
"May You Stay Forever Young" 配樂很勾動人心很感人非常香港風味
"May You Stay Forever Young" 年青演員的演出都很真摯動人特別男配角跟跟社工聊天一幕看到他感覺看似很輕鬆同時很緊張感覺是真實的感受也對警察演出印象深刻因為看過不少真實的反送中片段香港警察真的有膽子叫市民做臭閪這片雖然不是大製作但值得看
"May You Stay Forever Young" 非常好看很喜歡導演的敘事手法眾新演員們的演出非常亮眼去年金馬影展票難求但昨天在台灣上映的第一天台灣少年官方臉書粉專表示票房不是很理想真的覺得很可惜原以為可以像時代革命樣取得不錯的票房成績希望台灣人能多多支持少年這部好電影
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 平實的傳遞出愛的溫暖以及為了愛付出的勇氣和決心希望每個人都能得到幸福不是單純口號而是實際付出行動才有機會實現
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 故事溫暖畫面唯美配樂恰如其分很喜歡
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 很溫暖人心的作品多虧豐田悠作者創造出安達與黑澤在風間導演及本間奏美的製作人打造出一個更溫暖人心的作品雖然電影有一些小遺憾卻還是很喜歡這個作品因為有了町田演的黑澤及赤楚演的安達生動演技讓我看見他們就像是真的黑澤與安達本人
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 謝謝魔法團隊的大家及町赤帶來這麼好的作品希望這世界少點歧視愛平等
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 非常謝謝櫻桃魔法團隊加入新的故事內容讓我們能有機會看到這些畫面而非劇版的精華剪輯
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 在電影版看到安達的勇敢感覺好欣慰真的戀愛使人成長
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 保護愛的人想好好珍惜愛的人還有對於愛的人願意改變現況互相扶持建立屬於兩個人的未來這樣的愛無關性別這部戲給人很多的溫暖溫柔
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 每刷一次都發現不同的看點和樂趣希望台灣版能跟日本版一樣推出隱藏版謝謝
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 可以看到安達的成長放下包袱的黑澤兩人一起面對跟解決現實的困難很棒的一部電影
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 溫柔的黑安讓人看到愛情的樣貌非常棒直接多刷幾次
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 黑澤與安達讓我看到什麼是愛情
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 除了甜甜的戀愛外電影的氛圍更多的是現實中的兩人會遇到的難關即便如此電影的整體感受還是帶給了觀眾滿滿的溫暖
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 溫暖又甜蜜的好電影更深刻的描繪黑安的情感讓觀眾與兩人一同走向真實的幸福
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 一部傳遞溫暖與正能量的好電影讓人看完充滿了幸福的感覺
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 建議看完日劇再來看電影畢竟是粉絲向電影是非常溫暖的劇情現實生活中的心靈綠洲
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 我愛黑安超感動的日劇本結束後竟然佛心的給了我電影版好看好哭好感人
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 百看不厭每次看總是有新的感動的地方
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 終於等到電影版和日劇一樣有非常有趣令人歡笑的一幕也有感動揪心的情景電影版加上了同性之間未來所會遇到的阻礙看完覺得幸福感滿滿
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 真的很感動已二刷不僅加碼描述交往的甜蜜更點出同性愛情之間會遇到的困難非常非常推薦
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 安達跟黑澤互動一如以往的甜滋滋不時讓人姨母笑劇中也呈現許多多元性別會有的煩惱
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 看完只能說閃到眼鏡要瞎了太不現實
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 太好看了又笑又哭的位主角細膩的演出看完真的只有甜甜的感動再看次都可以
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 看完電影又想再看一次日劇了啦
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 很療癒劇情感人尤其是兩人為了爭取日後能得到類似法定配偶間的基本權利而努力面對雙方家長時真的很感動後半部幾乎都在感動流淚也許現實中只有少數同志得以實現如片中的美好得到身邊眾人的祝福但至少在這兩個小時裡能得到一些安慰與支持帶著期望相信未來會更好的
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 黑澤真的好帥又好溫柔最理想的男朋友矇矇達
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 超級好看已二刷雖然再續集的可能性很小但希望再次能夠沈浸在魔法世界裡
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 不至於有出人意料的發展但也是溫暖動人的電影兩個主角詮釋的很好有塵埃落地的完結篇感
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 就算沒看日劇也看得懂電影非常值得二刷以上
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 電影做得好有心唷我整個陷入櫻桃魔法師的風暴了
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 町田啓太的笑容讓我徹底融化了赤楚衛二把安達清的心境揣摩的真好非常值得推薦
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 個人看完後的感受是好看的雖說少了點起伏但平平淡淡的感覺也是好的但現實似乎沒那麼容易不過還是推啦畢竟一部電影的時間而已如果拍成連戲劇更深刻的刻畫跟交代想必會更好的
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 帶沒看過日劇的朋友來看我跟他從頭姨母笑到尾
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 我覺得電影版好不好看見仁見智但很有日劇的細膩感看完心頭都甜滋滋的
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 很溫柔的後續故事町田很帥赤楚很可愛
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 很感動的電影互相扶持一起幸福度過未來的人生
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 很喜歡日劇電影版一上映就立刻去看了非常感動值得推薦
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 最後分最感人謝謝演員們跟作者
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 不用秒我也會永遠把你們深深的深深的烙印在我心中希望看過這部電影的姨父姨母們都獲得幸福快樂我要去唱咕啦咕啦惹今天真幸福
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 有點吃粉絲向不過沒有看過日劇的朋友也不用擔心電影前面有快速的劇情回顧所以可以放心看分鐘有點貪心要塞太多東西所以有些轉折點很怪畢竟日劇太神了但是還是很讚很溫柔的電影尺度終於從深夜之恥變成好像是深夜劇了嗎升天了啊啊啊啊啊謝謝世界活著真好
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 太甜了很好看
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 終於知道老婆為什麼說這部很療愈推一下
"“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie" 黑澤跟安達的互動太可愛了我笑到嘴角好痠好看
"American Siege" 這部電影很好看看這部非常值得
Panama 這部電影非常好看希望場次可以很多
"The Cherry Bushido" 非常勵志感人現今愛國心與信仰心是要有勇氣學習值得大家醒思
"The Cherry Bushido" 還不錯女主角變成拯救世界的英雄結合了日本武士道精神與科幻畫面表現出女人英勇的一面
Morbius 特效還不錯劇情張力太弱比較可惜一點
